Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,5,120,2,Some Random Commen with Id 0
1,0,5,153,4,Some Random Commen with Id 1
2,0,5,115,4,Some Random Commen with Id 2
3,0,5,61,2,Some Random Commen with Id 3
4,0,5,113,3,Some Random Commen with Id 4
5,0,5,84,5,Some Random Commen with Id 5
6,0,5,167,0,Some Random Commen with Id 6
7,1,4,107,3,Some Random Commen with Id 7
8,1,4,104,1,Some Random Commen with Id 8
9,1,4,64,4,Some Random Commen with Id 9
10,1,4,189,8,Some Random Commen with Id 10
11,1,4,43,3,Some Random Commen with Id 11
12,1,4,55,0,Some Random Commen with Id 12
13,1,4,73,6,Some Random Commen with Id 13
14,2,1,27,3,Some Random Commen with Id 14
15,2,1,60,3,Some Random Commen with Id 15
16,2,1,26,6,Some Random Commen with Id 16
17,2,1,55,1,Some Random Commen with Id 17
18,2,1,141,4,Some Random Commen with Id 18
19,3,2,98,0,Some Random Commen with Id 19
20,3,2,12,1,Some Random Commen with Id 20
21,4,0,48,0,Some Random Commen with Id 21
22,4,0,170,7,Some Random Commen with Id 22
23,5,0,184,0,Some Random Commen with Id 23
24,5,0,49,0,Some Random Commen with Id 24
25,5,0,16,3,Some Random Commen with Id 25
26,6,9,114,0,Some Random Commen with Id 26
27,6,9,179,2,Some Random Commen with Id 27
28,6,9,48,4,Some Random Commen with Id 28
29,6,9,61,3,Some Random Commen with Id 29
30,6,9,52,2,Some Random Commen with Id 30
31,6,9,74,8,Some Random Commen with Id 31
32,6,9,28,0,Some Random Commen with Id 32
33,6,9,24,7,Some Random Commen with Id 33
34,7,5,119,4,Some Random Commen with Id 34
35,7,5,6,5,Some Random Commen with Id 35
36,7,5,98,7,Some Random Commen with Id 36
37,8,7,67,3,Some Random Commen with Id 37
38,8,7,152,4,Some Random Commen with Id 38
39,8,7,180,0,Some Random Commen with Id 39
40,8,7,183,9,Some Random Commen with Id 40
41,8,7,97,7,Some Random Commen with Id 41
42,8,7,162,2,Some Random Commen with Id 42
43,8,7,188,1,Some Random Commen with Id 43
44,8,7,172,6,Some Random Commen with Id 44
45,9,0,148,9,Some Random Commen with Id 45
46,9,0,111,9,Some Random Commen with Id 46
47,9,0,83,5,Some Random Commen with Id 47
48,9,0,159,6,Some Random Commen with Id 48
49,9,0,7,1,Some Random Commen with Id 49
50,10,9,80,9,Some Random Commen with Id 50
51,10,9,71,5,Some Random Commen with Id 51
52,11,3,197,3,Some Random Commen with Id 52
53,11,3,143,9,Some Random Commen with Id 53
54,11,3,76,3,Some Random Commen with Id 54
55,11,3,115,1,Some Random Commen with Id 55
56,11,3,183,3,Some Random Commen with Id 56
57,11,3,111,6,Some Random Commen with Id 57
58,12,0,107,7,Some Random Commen with Id 58
59,12,0,91,4,Some Random Commen with Id 59
60,13,4,21,3,Some Random Commen with Id 60
61,13,4,185,2,Some Random Commen with Id 61
62,13,4,186,9,Some Random Commen with Id 62
63,13,4,10,2,Some Random Commen with Id 63
64,13,4,194,4,Some Random Commen with Id 64
65,13,4,144,0,Some Random Commen with Id 65
66,13,4,77,7,Some Random Commen with Id 66
67,13,4,13,8,Some Random Commen with Id 67
68,14,7,72,7,Some Random Commen with Id 68
69,14,7,67,1,Some Random Commen with Id 69
70,14,7,146,0,Some Random Commen with Id 70
71,14,7,152,3,Some Random Commen with Id 71
72,14,7,135,9,Some Random Commen with Id 72
73,14,7,65,6,Some Random Commen with Id 73
74,14,7,89,0,Some Random Commen with Id 74
75,14,7,93,9,Some Random Commen with Id 75
76,15,6,191,9,Some Random Commen with Id 76
77,15,6,103,2,Some Random Commen with Id 77
78,15,6,73,3,Some Random Commen with Id 78
79,15,6,72,7,Some Random Commen with Id 79
80,15,6,81,7,Some Random Commen with Id 80
81,16,7,22,8,Some Random Commen with Id 81
82,16,7,99,6,Some Random Commen with Id 82
83,16,7,3,3,Some Random Commen with Id 83
84,16,7,145,6,Some Random Commen with Id 84
85,16,7,65,4,Some Random Commen with Id 85
86,16,7,35,6,Some Random Commen with Id 86
87,16,7,148,4,Some Random Commen with Id 87
88,17,2,124,5,Some Random Commen with Id 88
89,17,2,81,0,Some Random Commen with Id 89
90,17,2,115,4,Some Random Commen with Id 90
91,17,2,97,0,Some Random Commen with Id 91
92,17,2,150,0,Some Random Commen with Id 92
93,17,2,33,5,Some Random Commen with Id 93
94,17,2,157,3,Some Random Commen with Id 94
95,17,2,159,2,Some Random Commen with Id 95
96,18,8,130,8,Some Random Commen with Id 96
97,18,8,188,1,Some Random Commen with Id 97
98,18,8,127,1,Some Random Commen with Id 98
99,18,8,148,8,Some Random Commen with Id 99
100,19,5,88,6,Some Random Commen with Id 100
101,20,7,196,6,Some Random Commen with Id 101
102,21,7,82,6,Some Random Commen with Id 102
103,21,7,173,2,Some Random Commen with Id 103
104,21,7,55,2,Some Random Commen with Id 104
105,21,7,41,9,Some Random Commen with Id 105
106,22,2,106,1,Some Random Commen with Id 106
107,22,2,143,4,Some Random Commen with Id 107
108,22,2,128,8,Some Random Commen with Id 108
109,22,2,82,1,Some Random Commen with Id 109
110,22,2,154,5,Some Random Commen with Id 110
111,23,1,28,2,Some Random Commen with Id 111
112,23,1,35,8,Some Random Commen with Id 112
113,23,1,85,2,Some Random Commen with Id 113
114,24,5,6,8,Some Random Commen with Id 114
115,24,5,151,8,Some Random Commen with Id 115
116,24,5,142,2,Some Random Commen with Id 116
117,24,5,94,4,Some Random Commen with Id 117
118,24,5,91,3,Some Random Commen with Id 118
119,25,8,124,5,Some Random Commen with Id 119
120,25,8,178,5,Some Random Commen with Id 120
121,26,6,63,2,Some Random Commen with Id 121
122,26,6,124,2,Some Random Commen with Id 122
123,26,6,52,3,Some Random Commen with Id 123
124,26,6,33,5,Some Random Commen with Id 124
125,26,6,78,3,Some Random Commen with Id 125
126,26,6,63,3,Some Random Commen with Id 126
127,26,6,107,1,Some Random Commen with Id 127
128,26,6,187,0,Some Random Commen with Id 128
129,26,6,55,4,Some Random Commen with Id 129
130,27,6,81,4,Some Random Commen with Id 130
131,27,6,76,6,Some Random Commen with Id 131
132,27,6,44,3,Some Random Commen with Id 132
133,28,6,81,1,Some Random Commen with Id 133
134,28,6,98,8,Some Random Commen with Id 134
135,29,0,186,9,Some Random Commen with Id 135
136,29,0,170,3,Some Random Commen with Id 136
137,30,6,80,9,Some Random Commen with Id 137
138,30,6,63,5,Some Random Commen with Id 138
139,30,6,1,4,Some Random Commen with Id 139
140,30,6,25,7,Some Random Commen with Id 140
141,30,6,181,6,Some Random Commen with Id 141
142,30,6,123,5,Some Random Commen with Id 142
143,31,8,143,5,Some Random Commen with Id 143
144,31,8,69,4,Some Random Commen with Id 144
145,31,8,4,6,Some Random Commen with Id 145
146,31,8,40,0,Some Random Commen with Id 146
147,31,8,182,9,Some Random Commen with Id 147
148,32,5,55,4,Some Random Commen with Id 148
149,36,9,146,7,Some Random Commen with Id 149
150,36,9,4,2,Some Random Commen with Id 150
151,37,2,134,6,Some Random Commen with Id 151
152,37,2,15,2,Some Random Commen with Id 152
153,37,2,168,8,Some Random Commen with Id 153
154,37,2,178,0,Some Random Commen with Id 154
155,37,2,34,3,Some Random Commen with Id 155
156,37,2,187,8,Some Random Commen with Id 156
157,38,1,189,3,Some Random Commen with Id 157
158,38,1,9,5,Some Random Commen with Id 158
159,38,1,148,2,Some Random Commen with Id 159
160,38,1,161,9,Some Random Commen with Id 160
161,38,1,139,2,Some Random Commen with Id 161
162,39,2,184,9,Some Random Commen with Id 162
163,39,2,32,1,Some Random Commen with Id 163
164,39,2,37,2,Some Random Commen with Id 164
